STATE,NAME,PARTY
AL,Alabama,Republican
AK,Alaska,Republican
AZ,Arizona,Democrat
AR,Arkansas,Democrat
CA,California,Democrat
CO,Colorado,Republican
CT,Connecticut,Democrat
DE,Delaware,Democrat
DC,DC,Democrat
FL,Florida,Democrat
GA,Georgia,Republican
HI,Hawaii,Democrat
ID,Idaho,Republican
IL,Illinois,Democrat
IN,Indiana,Republican
IA,Iowa,Democrat
KS,Kansas,Republican
KY,Kentucky,Democrat
LA,Louisiana,Democrat
ME,Maine,Democrat
MD,Maryland,Democrat
MA,Massachusetts,Democrat
MI,Michigan,Democrat
MN,Minnesota,Democrat
MS,Mississippi,Republican
MO,Missouri,Democrat
MT,Montana,Republican
NE,Nebraska,Republican
NV,Nevada,Democrat
NH,New Hampshire,Democrat
NJ,New Jersey,Democrat
NM,New Mexico,Democrat
NY,New York,Democrat
NC,North Carolina,Republican
ND,North Dakota,Republican
OH,Ohio,Democrat
OK,Oklahoma,Republican
OR,Oregon,Democrat
PA,Pennsylvania,Democrat
RI,Rhode Island,Democrat
SC,South Carolina,Republican
SD,South Dakota,Republican
TN,Tennessee,Democrat
TX,Texas,Republican
UT,Utah,Republican
VT,Vermont,Democrat
VA,Virginia,Republican
WA,Washington,Democrat
WV,West Virginia,Democrat
WI,Wisconsin,Democrat
WY,Wyoming,Republican
